Consensus Address,Operator Address,Stake Size
cosmosvalcons1d58n20z28sar58ytwa89cgu0uak4ju3e564sct,cosmosvaloper1ptz7xq0fanh4kfvp6fdhevkx90axaq7drwcwjl,36585400
cosmosvalcons1dr6mh6kw7y2vwg82njvtlghlmcqu2n730pfk8a,cosmosvaloper1ptyzewnns2kn37ewtmv6ppsvhdnmeapvtfc9y5,484059868002
cosmosvalcons1da05faha0ngkgtlm3vfzzkaws99phcyv2saznk,cosmosvaloper1ps7dmygt4wm72t8l9kdjetelhggsv8w77mdh33,13920
cosmosvalcons1kq24y5kh8dlwkaxj4rxgzsuhue5hp2petveuva,cosmosvaloper1pjmngrwcsatsuyy8m3qrunaun67sr9x7z5r2qs,183109680915
cosmosvalcons1xwe7qdcykmk6pw8thk8edcss6d35gace0l858s,cosmosvaloper1p42rgfdq500nlt387l4f0vfv5p90dl6ftr8jds,21501266
cosmosvalcons10hp84y4am0mfjmtp6f4spce7wf225qfr3hw2un,cosmosvaloper1pexrxk6s9aznl8ap2g8jr87ktc3a7dd8xf0etj,5159936
cosmosvalcons174t3gfpaxtaktdketg5aqdgw5r9th282zhjnqk,cosmosvaloper1p650epkdwj0jte6sjc3ep0n3wz6jc9ehh8jutg,4861780137
cosmosvalcons1qcyakfwwhsxckjg593wykuu933s35ssp5p4p5d,cosmosvaloper1pmdxquuver2aj60rac8efqc87yk6tu0usuwar6,2814703
cosmosvalcons16y5szs5eg203nhsh56l0teem8thv5e3wpxzh9v,cosmosvaloper1p7n5agmrptr43t9te27tz7c4tnpw2dj3s4p6jm,8100221
cosmosvalcons128dj2e3qfm3xvsn74znvkuvcxk43wzlfngfrz8,cosmosvaloper1zqgheeawp7cmqk27dgyctd80rd8ryhqs6la9wc,3923660830685
cosmosvalcons1e6udks5xqcdnygyax032man4dtxa0cq9kp5xkv,cosmosvaloper1zp6kg7qlmztyw2km2af4z5ruz5vn04cp9npe79,59342063
cosmosvalcons145uc87weflqgh4t0w0luuk59046rwpma6p69sj,cosmosvaloper1z96p06tf6pqeca9gatv8h9hp83z2ng4l6erxj4,359990367981
cosmosvalcons1p273248gf387pexjqxnwrtpjjdku4qd6yvtgm3,cosmosvaloper1zxphhzuweenrq3vvgsgj6g25axdpghtglg0veq,414825617
cosmosvalcons1d4cplfv4xf5gmutt472jzym73s2vhvckjadcn2,cosmosvaloper1z8zjv3lntpwxua0rtpvgrcwl0nm0tltgpgs6l7,4799065187634
cosmosvalcons1tstkqk7whnsn57a93ksmuqt4hq5pa9jxzuulvd,cosmosvaloper1zgqal5almcs35eftsgtmls3ahakej6jmnn2wfj,173515486719
cosmosvalcons1szyclvg6kqql2d65yxgdq82as422cfhk3x4jzl,cosmosvaloper1zf37grr7nxffaacqfdyw5laeetnxm546aqz6uj,37835515
cosmosvalcons18z7asrytca436tlxr6lldxvdhpdpa9l7rc8fwx,cosmosvaloper1zwrav6vq7a9g37vwt6nl8ra63hhc20emsmvyp5,1201714
cosmosvalcons1qq0lw964szlkhgxulsak9k3g7c3j8jwvvd0600,cosmosvaloper1z3xngnvpyt33dlhrsmcz6pwd4fp47uem9545ed,11294998
cosmosvalcons1jp4sw2hd5pfmr9jrg4hx8hkjxdjq6tv3qfq2wj,cosmosvaloper1zc0z44e42qhzltqc8qpj5qrzn836d3lftnqmgw,61979500017
cosmosvalcons1s570cndhsf6ek2x477fcnehjlqga7hlu7g6h35,cosmosvaloper1zccyq99s2pcu3tjrpmlhyfcr0fpekpz2yggk66,999800
cosmosvalcons1qkzeaxrz5e5qm04t2ypk9sgtzesmjap63hewkf,cosmosvaloper1z66j0z75a9flwnez7sa8jxx46cqu4rfhd9q82w,9112539075
cosmosvalcons178uaw6g4t55mhs5efnmrrsdpsgen39rl3s97vc,cosmosvaloper1zmr5mglwkkru7m3q8sxcg66gxr508v6h6lv8fg,1039200
cosmosvalcons1eszcs2tcl30a66nhy958u9xq9xdwqp9c65dnm6,cosmosvaloper1rpgtz9pskr5geavkjz02caqmeep7cwwpv73axj,402832004842
cosmosvalcons1yspgq5t6sfmp33lv5d3gun5pstmdcenaqgded2,cosmosvaloper1r9lxkpqre6j4487ut882xchgr7rdtx3x76gtdp,1999800
cosmosvalcons1vu4n4002vv0v5e2f9zkafv2edld45943l5gw6f,cosmosvaloper1rxvkwfw3467nxgs6r7yav6cnygkjzkkc2defr6,369234730530
cosmosvalcons193fg6g69a4hf20qupqv79saqr2luhf2hladw0j,cosmosvaloper1r8kyvg4me2upnvlk26n2ay0zd5t4jktna8hhxp,228342148
cosmosvalcons1qex0qkzhk4t0a436cv5zrlusgvfdpukghc302f,cosmosvaloper1rfpar0qx3umnhu0f6wjp4hvnr3x6u5389e094j,1015440
cosmosvalcons1eemgqv7hylr29zvq4mmnwtgjgvnusy9g4nlklf,cosmosvaloper1r2dthxctqzhwg299e7aaeqwfkgcc9hg8k3yd7m,47327948791
cosmosvalcons1cg6kvg45j4e9jcd4kgq68qka2lxnxp0vddkz6t,cosmosvaloper1rwh0cxa72d3yle3r4l8gd7vyphrmjy2kpe4x72,367903538533
cosmosvalcons1w59c8npeqan7xcvy6nx5463jzprr83ss5t49rv,cosmosvaloper1rj6324uq904z5zr96zg6ew9qjyau9u6h5nflg6,804720129
cosmosvalcons12ktgr0zs690n9r8zgj7qy7mrdvtt498p0lfum3,cosmosvaloper1rjujxmsdk3n7hj07q54huh4esf4v0ts8mezqam,5828617269
cosmosvalcons152p8kw0kvu6wwpqw8f7uhf49ycf6ztnmkeffzu,cosmosvaloper1rn4gt0kphuqsdk7lu7m65gylv75q3ml4y6ns0j,999900
